I, [2015-12-26T14:07:34.978908 #7882]  INFO -- Kitchen: -----> Starting Kitchen (v1.4.2)
E, [2015-12-26T14:07:34.979164 #7882] ERROR -- Kitchen: ------Exception-------
E, [2015-12-26T14:07:34.979188 #7882] ERROR -- Kitchen: Class: Kitchen::UserError
E, [2015-12-26T14:07:34.979206 #7882] ERROR -- Kitchen: Message: Kitchen YAML file /home/cwb/work/incubator-hawq/chef/hawq_build/recipes/.kitchen.yml does not exist.
E, [2015-12-26T14:07:34.979223 #7882] ERROR -- Kitchen: ------Backtrace-------
E, [2015-12-26T14:07:34.979238 #7882] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/test-kitchen-1.4.2/lib/kitchen/loader/yaml.rb:74:in `read'
E, [2015-12-26T14:07:34.979254 #7882] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/test-kitchen-1.4.2/lib/kitchen/config.rb:145:in `data'
E, [2015-12-26T14:07:34.979270 #7882] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/test-kitchen-1.4.2/lib/kitchen/config.rb:124:in `suites'
E, [2015-12-26T14:07:34.979285 #7882] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/test-kitchen-1.4.2/lib/kitchen/config.rb:175:in `filter_instances'
E, [2015-12-26T14:07:34.979301 #7882] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/test-kitchen-1.4.2/lib/kitchen/config.rb:134:in `build_instances'
E, [2015-12-26T14:07:34.979326 #7882] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/test-kitchen-1.4.2/lib/kitchen/config.rb:110:in `instances'
E, [2015-12-26T14:07:34.979341 #7882] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/test-kitchen-1.4.2/lib/kitchen/command.rb:115:in `filtered_instances'
E, [2015-12-26T14:07:34.979357 #7882] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/test-kitchen-1.4.2/lib/kitchen/command.rb:145:in `parse_subcommand'
E, [2015-12-26T14:07:34.979372 #7882] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/test-kitchen-1.4.2/lib/kitchen/command/action.rb:38:in `block in call'
E, [2015-12-26T14:07:34.979387 #7882] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/2.1.0/benchmark.rb:279:in `measure'
E, [2015-12-26T14:07:34.979403 #7882] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/test-kitchen-1.4.2/lib/kitchen/command/action.rb:37:in `call'
E, [2015-12-26T14:07:34.979418 #7882] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/test-kitchen-1.4.2/lib/kitchen/cli.rb:56:in `perform'
E, [2015-12-26T14:07:34.979434 #7882] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/test-kitchen-1.4.2/lib/kitchen/cli.rb:171:in `block (2 levels) in <class:CLI>'
E, [2015-12-26T14:07:34.979449 #7882] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/thor-0.19.1/lib/thor/command.rb:27:in `run'
E, [2015-12-26T14:07:34.979464 #7882] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/thor-0.19.1/lib/thor/invocation.rb:126:in `invoke_command'
E, [2015-12-26T14:07:34.979479 #7882] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/test-kitchen-1.4.2/lib/kitchen/cli.rb:308:in `invoke_task'
E, [2015-12-26T14:07:34.979494 #7882] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/thor-0.19.1/lib/thor.rb:359:in `dispatch'
E, [2015-12-26T14:07:34.979518 #7882] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/thor-0.19.1/lib/thor/base.rb:440:in `start'
E, [2015-12-26T14:07:34.979534 #7882] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/test-kitchen-1.4.2/bin/kitchen:13:in `block in <top (required)>'
E, [2015-12-26T14:07:34.979549 #7882] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/test-kitchen-1.4.2/lib/kitchen/errors.rb:154:in `with_friendly_errors'
E, [2015-12-26T14:07:34.979564 #7882] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/test-kitchen-1.4.2/bin/kitchen:13:in `<top (required)>'
E, [2015-12-26T14:07:34.979580 #7882] ERROR -- Kitchen: /opt/chefdk/embedded/bin/kitchen:23:in `load'
E, [2015-12-26T14:07:34.979595 #7882] ERROR -- Kitchen: /opt/chefdk/embedded/bin/kitchen:23:in `<main>'
E, [2015-12-26T14:07:34.979612 #7882] ERROR -- Kitchen: ----------------------
